id,spec,grade,wear,temp,target_torque,speed,label,label_name,source,workstation_id,workstation_name,device_no,operator,workshop,batch_id,record_time
E1116,M24,12.9,2,50.0,520.0,123.96,2,过拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-03,2026-08-01 08:02:14
E1242,M16,12.9,2,50.0,180.0,127.02,3,滑牙,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-05,2026-08-01 08:04:36
E0288,M24,12.9,2,50.0,520.0,168.44,0,合格,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-06,2026-08-01 08:05:19
E1059,M20,12.9,2,50.0,320.0,186.47,2,过拧,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-01,2026-08-01 08:05:23
E0209,M12,10.9,1,20.0,80.0,184.2,0,合格,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-05,2026-08-01 08:06:37
E0282,M16,12.9,2,50.0,180.0,167.91,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-05,2026-08-01 08:07:10
E0749,M12,10.9,1,20.0,80.0,121.12,1,欠拧,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-02,2026-08-01 08:07:10
E0796,M24,8.8,0,-10.0,520.0,178.63,1,欠拧,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-01,2026-08-01 08:09:58
E0713,M12,10.9,1,20.0,80.0,112.05,1,欠拧,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-05,2026-08-01 08:13:17
E0539,M20,10.9,1,20.0,320.0,143.17,0,合格,extended,WS-003,三号装配工位,WS-003,王芳,总装二车间,M20-03,2026-08-01 08:14:01
E0422,M16,10.9,1,20.0,180.0,180.84,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-04,2026-08-01 08:17:18
B0901,M12,8.8,0,20.0,80.0,173.5,2,过拧,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-04,2026-08-01 08:18:55
E0094,M16,8.8,0,-10.0,180.0,172.39,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-06,2026-08-01 08:19:26
E1428,M24,12.9,2,50.0,520.0,185.86,3,滑牙,extended,WS-004,四号装配工位,WS-004,刘洋,总装二车间,M24-03,2026-08-01 08:19:57
E0037,M12,8.8,0,-10.0,80.0,119.91,0,合格,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-04,2026-08-01 08:20:21
E1589,M12,10.9,1,20.0,80.0,163.29,4,虚拧,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-02,2026-08-01 08:20:27
E0350,M16,10.9,1,20.0,180.0,122.38,0,合格,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-04,2026-08-01 08:20:28
B0773,M12,8.8,0,20.0,80.0,145.7,1,欠拧,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-02,2026-08-01 08:21:07
B0381,M12,8.8,0,20.0,80.0,185.27,0,合格,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-06,2026-08-01 08:22:55
B0846,M16,8.8,0,20.0,180.0,168.81,2,过拧,benchmark,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 08:23:27
E1446,M16,12.9,2,50.0,180.0,153.92,3,滑牙,extended,WS-002,二号装配工位,WS-002,李强,总装一车间,M16-02,2026-08-01 08:23:38
B0845,M12,8.8,0,20.0,80.0,178.31,2,过拧,benchmark,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-02,2026-08-01 08:23:38
E1201,M12,8.8,0,-10.0,80.0,163.9,3,滑牙,extended,WS-001,一号装配工位,WS-001,张伟,总装一车间,M12-01,2026-08-01 08:27:54
